boosting_rounds,wrmsse,mae,rmse,actual_mean,prediction_mean,minimum_prediction,maximum_prediction,non_finite_predictions,negative_predictions,prediction_rows,evaluation_seconds,fold,demand_type,stage,fit_train_end,validation_start,validation_end
800,0.9239162273834232,1.2731294203465529,2.4324322430639858,1.4735714285714285,1.2983853535151963,2.9605700547108427e-05,15.438072204589844,0,0,5600,0.5265409001149237,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
810,0.9218427222132097,1.27495891946099,2.432966226218155,1.4735714285714285,1.301102252844277,3.008371095347684e-05,13.100137710571289,0,0,5600,0.5795043001417071,1,lumpy,refined,2015-12-06,2015-12-07,2016-01-03
820,0.9182705499024201,1.2778274340181899,2.433962945436914,1.4735714285714285,1.308842908079842,2.5523338990751654e-05,15.799149513244629,0,0,5600,0.6836469999980181,1,lumpy,refined,2015-12-06,2015-12-07,2016-01-03
830,0.9126474209289174,1.27472007202064,2.427251563190036,1.4735714285714285,1.3110149750282027,2.4803315682220273e-05,14.040956497192383,0,0,5600,0.5902654998935759,1,lumpy,refined,2015-12-06,2015-12-07,2016-01-03
840,0.9101484770675539,1.2760550879160535,2.4332979451521846,1.4735714285714285,1.313819470534668,2.2620492018177174e-05,13.929927825927734,0,0,5600,0.5448135999031365,1,lumpy,refined,2015-12-06,2015-12-07,2016-01-03
850,0.9126903107895437,1.276459142448168,2.4313924654123977,1.4735714285714285,1.311309346312939,2.1767384168924764e-05,13.469808578491211,0,0,5600,0.545337500050664,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
860,0.9133843524054622,1.2739472433108696,2.427904738911444,1.4735714285714285,1.309122625797148,2.0260293240426108e-05,12.893341064453125,0,0,5600,0.5481745998840779,1,lumpy,refined,2015-12-06,2015-12-07,2016-01-03
870,0.9188391851586775,1.2760412112837707,2.4341017527462463,1.4735714285714285,1.3014969581371123,1.891439205792267e-05,14.117179870605469,0,0,5600,0.555626800050959,1,lumpy,refined,2015-12-06,2015-12-07,2016-01-03
880,0.9213182010086534,1.2734654237901948,2.4326453431679256,1.4735714285714285,1.2994310731694498,1.736134072416462e-05,12.908077239990234,0,0,5600,0.5649140998721123,1,lumpy,refined,2015-12-06,2015-12-07,2016-01-03
890,0.9196516318817165,1.2731088547858471,2.4311210231492346,1.4735714285714285,1.300280690351504,1.5979761883500032e-05,11.856226921081543,0,0,5600,0.5487323000561446,1,lumpy,refined,2015-12-06,2015-12-07,2016-01-03
900,0.9192958135837785,1.275751056594696,2.432291897538053,1.4735714285714285,1.3042256922637407,1.6249030522885732e-05,12.892934799194336,0,0,5600,0.5387779001612216,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
950,0.9246642719540196,1.2739274894891655,2.442834614570996,1.4735714285714285,1.294497079924167,1.4584426935471129e-05,13.976505279541016,0,0,5600,0.5383528999518603,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
1000,0.9272848835497948,1.2801789885874864,2.445053651051497,1.4735714285714285,1.3023900574871088,1.3771369594905991e-05,13.902748107910156,0,0,5600,0.5440810001455247,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
1100,0.9257037082676325,1.284188481411288,2.4632191234911582,1.4735714285714285,1.3041800669974748,7.516826372011565e-06,13.08122730255127,0,0,5600,0.5355390999466181,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
1200,0.9213066336807212,1.2895164012384293,2.4585052967787626,1.4735714285714285,1.315223543394558,5.052756478107767e-06,13.292487144470215,0,0,5600,0.5488679001573473,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
1300,0.9211667998725854,1.2886459281837954,2.456445736129,1.4735714285714285,1.3157401859917959,4.582580913847778e-06,13.696163177490234,0,0,5600,0.546496800146997,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
1400,0.9224123643456333,1.2930992092771014,2.4558667089476622,1.4735714285714285,1.3197424325046463,2.7159285309608094e-06,14.962742805480957,0,0,5600,0.6118895998224616,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
1500,0.9220710708388368,1.3010958509602113,2.469286155016095,1.4735714285714285,1.3270368205915073,1.5891441762505565e-06,14.01415729522705,0,0,5600,0.7746790000237525,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
25,1.105446115086912,3.5086718368849583,6.624134565537799,5.4903571428571425,4.981959051436611,0.7184860706329346,26.128799438476562,0,0,5600,0.47041599988006055,1,smooth,coarse,2015-12-06,2015-12-07,2016-01-03
